ticker,fund_name,sponsor,active,validation_keywords
EIC,Eagle Point Income Co Inc,Eagle Point Income Management LLC,TRUE
EIM,Eaton Vance Municipal Bond,Eaton Vance Management,TRUE
EMD,Western Asset Emerging Markets Debt,"Franklin Templeton Fund Adviser, LLC",TRUE
EMF,Templeton Emerging Markets,Franklin Templeton Investments,TRUE
EOD,Allspring Global Dividend Opp Fd,Allspring Global Investments,TRUE
EOI,Eaton Vance Enhanced Equity Income,Eaton Vance Management,TRUE
EOS,Eaton Vance Enhanced Equity Income II,Eaton Vance,TRUE
ERC,Allspring Multi-Sec Inc,Allspring Global Investments,TRUE
ERH,Allspring Util & High In,Allspring Global Investments,TRUE
ETB,Eaton Vance Tax-Managed Buy-Write Income,Eaton Vance Management,TRUE
ETG,Eaton Vance Tax Adv Global Dividend Inc,Eaton Vance Management,TRUE
ETJ,Eaton Vance Risk-Mgd Divers Eq Inc,Eaton Vance Management,TRUE
ETO,Eaton Vance Tax-Advantaged Glbl Div Opp,Eaton Vance Management,TRUE
ETV,Eaton Vance Tax-Managed Buy-Write Opp,Eaton Vance Management,TRUE
ETW,Eaton Vance Tx-Mgd Glbl Buy-Write Opp,Eaton Vance,TRUE
ETY,Eaton Vance Tax-Managed Divrs Equity Inc,Eaton Vance Management,TRUE
EVF,Eaton Vance Senior Income,Eaton Vance Management,TRUE
EVG,Eaton Vance Short Duration Divers Inc,Eaton Vance Management,TRUE
EVN,Eaton Vance Municipal Income,Eaton Vance,TRUE
EVT,Eaton Vance Tax Advantaged Dividend Inc,Eaton Vance Management,TRUE
EVV,Eaton Vance Limited Duration Income,Eaton Vance,TRUE
EXG,Eaton Vance Tax-Mgd Glb Divrs Equity Inc,Eaton Vance Management,TRUE
FCO,"abrdn Global Income Fund, Inc.",abrdn Inc.,TRUE
FCT,First Trust Senior FR Inc II,First Trust Advisors L.P.,TRUE
FFA,First Trust Enhanced Equity Income,First Trust Advisors L.P.,TRUE,"first trust"
FFC,Flah&Crum Preferred Securities,Flaherty & Crumrine Inc,TRUE,"flaherty crumrine,flaherty crumrine preferred securities"
FINS,Angel Oak Financial Strats Income Term,"Angel Oak Capital Advisors, LLC",TRUE,"angel oak,strats"
FLC,Flah&Crum Total Return Fund,Flaherty & Crumrine Inc,TRUE
FMN,Federated Premier Municipal Income,Federated Advisers,TRUE
FOF,Cohen & Steers Closed-End Opportunity,"Cohen & Steers Capital Management, Inc.",TRUE
FPF,First Trust Inter Dur Pref & Income Fund,First Trust Advisors L.P.,TRUE
FRA,BlackRock Floating Rate Inc Strategies,"BlackRock Advisors, LLC",TRUE
FT,Franklin Universal Trust,"Franklin Advisers, Inc.",TRUE
FTF,Franklin Limited Duration Income Trust,"Franklin Advisers, Inc.",TRUE
FUND,Sprott Focus Trust,Sprott Asset Management USA Inc.,TRUE
GAB,Gabelli Equity,Gabelli,TRUE
GAM,General American Investors,General American Investors Co Inc,TRUE,"general american investors"
GBAB,Guggenheim Tax Muni & Inv Grade Debt Tr,Guggenheim Funds Investment Advisors LLC,TRUE
GCV,Gabelli Conv Inc Secs,Gabelli,TRUE
GDO,Western Asset Global Corp Opp,"Franklin Templeton Fund Adviser, LLC",TRUE
GDV,Gabelli Dividend & Income,Gabelli Funds LLC,TRUE
GF,New Germany,DWS,TRUE
GGN,GAMCO Global Gold Natural Resources&Inc,Gabelli,TRUE
GHY,"PGIM Global High Yield Fund, Inc.",PGIM,TRUE
GLO,Clough Global Opportunities,Clough Capital Partners L.P.,TRUE
GLQ,Clough Global Equity,Clough Capital Partners L.P.,TRUE
GLV,Clough Global Dividend and Income,Clough Capital Partners L.P.,TRUE
GNT,"GAMCO Natural Resources, Gold & Inc Tr",Gabelli Funds LLC,TRUE
GOF,Guggenheim Strategic Opp Fund,Guggenheim Funds Investment Advisors LLC,TRUE
GRX,Gabelli Healthcare & Wellness Trust,Gabelli,TRUE
GUT,Gabelli Utility Trust,Gabelli,TRUE
